2024-06-12 17:47:55.916 +07 [14068] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-12 17:48:03.305 +07 [14068] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 49 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.472 сек., синхр.=1.857 сек., всего=7.389 сек.; синхронизировано_файлов=43, самая_долгая_синхр.=0.869 сек., средняя=0.044 сек.; расстояние=167 kB, ожидалось=3757 kB; lsn=0/35C0DD8, lsn redo=0/35B5290
2024-06-12 17:52:55.310 +07 [14068] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-12 17:52:57.959 +07 [14068] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 21 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.237 сек., синхр.=0.335 сек., всего=2.649 сек.; синхронизировано_файлов=16, самая_долгая_синхр.=0.035 сек., средняя=0.021 сек.; расстояние=52 kB, ожидалось=3386 kB; lsn=0/35C2500, lsn redo=0/35C24C8
2024-06-12 19:37:56.131 +07 [14068] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-12 19:38:08.379 +07 [14068] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 96 (0.6%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=10.740 сек., синхр.=1.445 сек., всего=12.248 сек.; синхронизировано_файлов=80, самая_долгая_синхр.=0.060 сек., средняя=0.019 сек.; расстояние=461 kB, ожидалось=3094 kB; lsn=0/36359F8, lsn redo=0/36359C0
2024-06-12 19:42:56.391 +07 [14068] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-12 19:43:01.841 +07 [14068] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 45 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=4.916 сек., синхр.=0.471 сек., всего=5.451 сек.; синхронизировано_файлов=38, самая_долгая_синхр.=0.034 сек., средняя=0.013 сек.; расстояние=219 kB, ожидалось=2806 kB; lsn=0/366C6D8, lsn redo=0/366C6A0
2024-06-12 20:02:56.887 +07 [14068] СООБЩЕНИЕ:  начата контрольная точка: time
2024-06-12 20:03:00.312 +07 [14068] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 27 (0.2%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.905 сек., синхр.=0.458 сек., всего=3.425 сек.; синхронизировано_файлов=21, самая_долгая_синхр.=0.034 сек., средняя=0.022 сек.; расстояние=3 kB, ожидалось=2526 kB; lsn=0/366D598, lsn redo=0/366D560
2024-06-12 20:07:56.317 +07 [14068] СООБЩЕНИЕ:  начата контрольная точка: time
